index,student,state,district_num,formatted_dist_num,abbrev,district,candidate,party,website,twitter_handle,incumbent,age,gender,marital_status,white_non_hispanic,hispanic,black,partisian_lean_pvi,opposed,pct_urban,income,region
708,patrick,Iowa,4,4,IA,IA04,Steve King,Republican,https://www.steveking.com,SteveKingIA,T,69.0,M,Married,T,F,F,R+11,T,50.58,38242.0,MW
709,patrick,Iowa,4,4,IA,IA04,J.D. Scholten,Democratic,https://www.scholten4iowa.com,Scholten4Iowa,F,,M,Single,T,F,F,R+11,T,50.58,38242.0,MW
710,patrick,Kansas,4,4,KS,KS04,Ron Estes,Republican,https://estesforcongress.com,RonEstesKS,T,62.0,M,Married,T,F,F,R+15,T,78.9,40917.0,MW
711,patrick,Kansas,4,4,KS,KS04,James Thompson,Democratic,https://www.votejamesthompson.com,JamesThompsonKS,F,,M,Married,T,F,F,R+15,T,78.9,40917.0,MW
712,patrick,Kentucky,6,6,KY,KY06,Andy Barr,Republican,https://www.andybarrforcongress.com,barrforcongress,T,45.0,M,Married,T,F,F,R+9,T,72.59,50659.0,S
713,patrick,Kentucky,6,6,KY,KY06,Frank Harris,Libertarian,https://www.votefrankharris.com,VoteFrankHarris,F,56.0,M,Married,T,F,F,R+9,T,72.59,50659.0,S
714,patrick,Kentucky,6,6,KY,KY06,Amy McGrath,Democratic,https://amymcgrathforcongress.com,AmyMcGrathKY,F,,F,Married,T,F,F,R+9,T,72.59,50659.0,S
715,patrick,Massachusetts,3,3,MA,MA03,Rick Green,Republican,https://www.rickgreenforma.com,RickGreenMA,F,,M,Married,T,F,F,D+9,T,48.2,63270.0,NE
716,patrick,Massachusetts,3,3,MA,MA03,Dan Koh,Democratic,https://koh2018.com,dank,F,33.0,M,Married,F,F,F,D+9,T,48.2,63270.0,NE
717,patrick,Massachusetts,3,3,MA,MA03,Lori Trahan,Democratic,https://loritrahan.com,LoriUSCongress,F,,F,Married,T,F,F,D+9,T,48.2,63270.0,NE
718,patrick,Minnesota,4,4,MN,MN04,Betty McCollum,Democratic,https://www.mccollumforcongress.com,VoteBetty,T,64.0,F,Single,T,F,F,D+14,T,97.21,66175.0,MW
719,patrick,Minnesota,4,4,MN,MN04,Susan Pendergast Sindt,Legal Marijuana Now,https://www.facebook.com/Sindtforcongress/,,F,,F,,T,F,F,D+14,T,97.21,66175.0,MW
720,patrick,Minnesota,4,4,MN,MN04,Greg Ryan,Republican,http://ryan4us.com,GregTRyan4US,F,,M,Single,T,F,F,D+14,T,97.21,66175.0,MW
721,patrick,Minnesota,6,6,MN,MN06,Tom Emmer,Republican,https://emmerforcongress.com,tomemmer,T,57.0,M,Married,T,F,F,R+12,T,69.55,77049.0,MW
722,patrick,Minnesota,6,6,MN,MN06,Ian Todd,Democratic,https://www.iantoddforcongress.com,IanToddforMN,F,,M,Married,T,F,F,R+12,T,69.55,77049.0,MW
723,patrick,Minnesota,7,7,MN,MN07,Dave Hughes,Republican,https://www.hughesforcongress.us,DHughesCongress,F,,M,Married,T,F,F,R+12,T,35.87,52620.0,MW
724,patrick,Minnesota,7,7,MN,MN07,Collin Peterson,Democratic,http://www.petersonforcongress.com,collinpeterson,T,74.0,M,Single,T,F,F,R+12,T,35.87,52620.0,MW
725,patrick,Mississippi,1,1,MS,MS01,Trent Kelly,Republican,http://www.kellyformississippi.com,KellyforMS01,T,52.0,M,Single,T,F,F,R+16,T,38.36,35831.0,S
726,patrick,Mississippi,1,1,MS,MS01,Randy Wadkins,Democratic,https://www.wadkinsforcongress.com,Wadkins2018,F,53.0,M,Single,T,F,F,R+16,T,38.36,35831.0,S
727,patrick,New Jersey,2,2,NJ,NJ02,Seth Grossman,Republican,https://grossmanforcongress.com,Grossman4NJ,F,,M,,T,F,F,R+1,T,79.1,44173.0,NE
728,patrick,New Jersey,2,2,NJ,NJ02,Jeff Van Drew,Democratic,https://www.vandrewforcongress.com,VanDrewForNJ,F,,M,Single,T,F,F,R+1,T,79.1,44173.0,NE
729,patrick,New York,1,1,NY,NY01,Perry Gershon,Democratic,https://www.perrygershon.com,perrygershon,F,,M,Married,T,F,F,R+5,T,93.89,61884.0,NE
730,patrick,New York,1,1,NY,NY01,Lee Zeldin,Republican,https://zeldinforcongress.com,leezeldin,T,38.0,M,Married,T,F,F,R+5,T,93.89,61884.0,NE
731,patrick,New York,4,4,NY,NY04,Ameer Benno,Republican,https://www.benno4congress.com,Benno4Congress,F,,M,Married,T,F,F,D+4,T,87.4,87860.0,NE
732,patrick,New York,4,4,NY,NY04,Kathleen Rice,Democratic,https://www.kathleenrice.com,KathleenRice,T,53.0,F,Single,T,F,F,D+4,T,87.4,87860.0,NE
733,patrick,North Carolina,3,3,NC,NC03,Walter Jones,Republican,http://www.walterjonescommittee.com,RepWalterJones,T,75.0,M,Married,T,F,F,R+12,F,53.13,44871.0,S
734,patrick,North Carolina,7,7,NC,NC07,Kyle Horton,Democratic,https://www.drkyleforcongress.com,drkyle4congress,F,,F,Single,T,F,F,R+9,T,52.92,39710.0,S
735,patrick,North Carolina,7,7,NC,NC07,David Rouzer,Republican,http://davidrouzer.com,DavidRouzer,T,46.0,M,Single,T,F,F,R+9,T,52.92,39710.0,S
736,patrick,Ohio,16,16,OH,OH16,Anthony Gonzalez,Republican,https://www.voteanthonygonzalez.com,anthonygonzalez,F,34.0,M,Married,F,T,F,R+8,T,31.4,58526.0,MW
737,patrick,Ohio,16,16,OH,OH16,Susan Moran Palmer,Democratic,https://www.susanpalmerforcongress.com,SusanPalmerOH,F,,F,Married,T,F,F,R+8,T,31.4,58526.0,MW
738,patrick,Oklahoma,3,3,OK,OK03,Frank Lucas,Republican,http://www.frankdlucas.com,FrankDLucas,T,58.0,M,Married,T,F,F,R+27,T,50.71,32098.0,S
739,patrick,Oklahoma,3,3,OK,OK03,Frankie Robbins,Democratic,http://robbinsforoklahoma.com,RobbinsforOK,F,72.0,M,Single,T,F,F,R+27,T,50.71,32098.0,S
740,patrick,Texas,2,2,TX,TX02,Dan Crenshaw,Republican,https://crenshawforcongress.com,DanCrenshawTX,F,,M,Married,T,F,F,R+11,T,98.11,72711.0,S
741,patrick,Texas,2,2,TX,TX02,Scott Cubbler,Independent,https://www.cubblerforcongress.com,ScottCubbler,F,,M,Married,T,F,F,R+11,T,98.11,72711.0,S
742,patrick,Texas,2,2,TX,TX02,Patrick Gunnels,Libertarian,,,F,,M,,F,F,F,R+11,T,98.11,72711.0,S
743,patrick,Texas,2,2,TX,TX02,Todd Litton,Democratic,https://toddlitton.com,toddlitton,F,,M,Married,T,F,F,R+11,T,98.11,72711.0,S
744,patrick,Texas,5,5,TX,TX05,Lance Gooden,Republican,http://lancegooden.com,RepLanceGooden,F,35.0,M,Married,T,F,F,R+16,T,67.16,50536.0,S
745,patrick,Texas,5,5,TX,TX05,Dan Wood,Democratic,https://www.votedanwood.com,DanWood2018,F,62.0,M,Married,T,F,F,R+16,T,67.16,50536.0,S
746,patrick,Texas,10,10,TX,TX10,Michael McCaul,Republican,https://www.michaelmccaul.com,McCaulforTexas,T,56.0,M,Married,T,F,F,R+9,T,77.46,73476.0,S
747,patrick,Texas,10,10,TX,TX10,Mike Ryan,Libertarian,http://mikeryantexas.nationbuilder.com,,F,,M,,F,F,F,R+9,T,77.46,73476.0,S
748,patrick,Texas,10,10,TX,TX10,Mike Siegel,Democratic,https://www.siegelfortexas.org,SiegelForTexas,F,,M,Married,T,F,F,R+9,T,77.46,73476.0,S
749,patrick,Texas,18,18,TX,TX18,Sheila Jackson Lee,Democratic,http://www.sheilajacksonlee18.com,JacksonLeeTX18,T,68.0,F,Married,F,F,T,D+27,T,99.94,42662.0,S
750,patrick,Texas,18,18,TX,TX18,Ava Pate,Republican,http://www.avapateforuscongress.com,avaforcongress,F,52.0,F,Married,F,T,F,D+27,T,99.94,42662.0,S
751,patrick,Texas,18,18,TX,TX18,Luke Spencer,Libertarian,https://lukespencerforcongress.com,SpencerCongress,F,,M,,T,F,F,D+27,T,99.94,42662.0,S
752,patrick,Texas,27,27,TX,TX27,Michael Cloud,Republican,https://www.cloudforcongress.com,MichaelJCloud,T,43.0,M,Married,T,F,F,R+13,T,74.99,53047.0,S
753,patrick,Texas,27,27,TX,TX27,James Duerr,Independent,http://duerrforcongress.com,Duerr4Congress,F,,M,,T,F,F,R+13,T,74.99,53047.0,S
754,patrick,Texas,27,27,TX,TX27,Eric Holguin,Democratic,https://www.ericforus.com,EricHolguinTX,F,,M,Single,F,T,F,R+13,T,74.99,53047.0,S
755,patrick,Texas,27,27,TX,TX27,Daniel Tinus,Libertarian,https://dtinusforcongress.com,tinus4congress,F,,M,Married,T,F,F,R+13,T,74.99,53047.0,S
756,patrick,Washington,5,5,WA,WA05,Lisa Brown,Democratic,https://lisabrownforcongress.com,lisa4congress,F,61.0,F,Married,T,F,F,R+8,T,1.5,35720.0,W
757,patrick,Washington,5,5,WA,WA05,Cathy McMorris Rodgers,Republican,http://www.cathyforcongress.com,TeamCMR,T,49.0,F,Married,T,F,F,R+8,T,1.5,35720.0,W
758,thomas,Alabama,7,7,AL,AL07,Terri Sewell,Democratic,http://www.sewellforcongress.com/,RepTerriSewell,T,53.0,F,,F,F,T,D+20,F,72.16,34664.0,S
759,thomas,California,26,26,CA,CA26,Julia Brownley,Democratic,http://juliabrownley.com/,JuliaBrownley26,T,66.0,F,,T,F,F,D+7,T,,72804.0,W
760,thomas,California,26,26,CA,CA26,Antonio Sabàto Jr,Republican,http://voteantonio.com/,AntonioSabatoJr,F,46.0,M,,F,F,F,D+7,T,,72804.0,W
761,thomas,California,33,33,CA,CA33,Ted Lieu,Democratic,http://www.tedlieu.com/,tedlieu,T,49.0,M,Married,F,F,F,D+16,T,,61273.0,W
762,thomas,California,33,33,CA,CA33,Kenneth Wright,Republican,https://drwright4congress.com/,drwright4congr1,F,,M,,T,F,F,D+16,T,,61273.0,W
763,thomas,California,39,39,CA,CA39,Gil Cisneros,Democratic,https://cisnerosforcongress.com/,GilCisnerosCA,F,48.0,M,Married,F,F,F,Even,T,,76748.0,W
764,thomas,California,39,39,CA,CA39,Young Kim,Republican,https://www.kimforcongress2018.com/,YoungKimCD39,F,55.0,F,Married,F,F,F,Even,T,,76748.0,W
765,thomas,California,48,48,CA,CA48,Harley Rouda,Democratic,https://www.harleyforcongress.com/,HarleyRouda,F,,M,Married,T,F,F,R+4,T,,76077.0,W
766,thomas,California,48,48,CA,CA48,Dana Rohrabacher,Republican,http://www.rohrabacher.com/,DanaRohrabacher,T,71.0,M,Married,T,F,F,R+4,T,,76077.0,W
767,thomas,California,51,51,CA,CA51,Juan Hidalgo Jr,Republican,http://hidalgoforcongress.com/,HidalgoFor51st,F,52.0,M,Married,F,T,F,D+22,T,,41477.0,W
768,thomas,California,51,51,CA,CA51,Juan Vargas,Democratic,https://votevargas.com/,RepJuanVargas,T,57.0,M,Married,F,T,F,D+22,T,,41477.0,W
769,thomas,Colorado,3,3,CO,CO03,Mary Malarsie,Independent,https://www.marymindependent.com/,,F,,F,,T,F,F,R+6,T,64.75,47012.0,W
770,thomas,Colorado,3,3,CO,CO03,Diane Mitsch Bush,Democratic,https://dianeforcolorado.com/,RepDMB,F,68.0,F,Married,T,F,F,R+6,T,64.75,47012.0,W
771,thomas,Colorado,3,3,CO,CO03,Scott Tipton,Republican,https://www.votetipton.com/,RepTipton,T,61.0,M,Married,T,F,F,R+6,T,64.75,47012.0,W
772,thomas,Colorado,4,4,CO,CO04,Ken Buck,Republican,http://www.buckforcolorado.com/,RepKenBuck,T,59.0,M,Married,T,F,F,R+13,T,72.9,57836.0,W
773,thomas,Colorado,4,4,CO,CO04,Karen McCormick,Democratic,https://www.mccormickforcongress.org/,McCormickForCO,F,,F,Married,T,F,F,R+13,T,72.9,57836.0,W
774,thomas,Colorado,6,6,CO,CO06,Mike Coffman,Republican,http://www.coffmanforcongress.com/,RepMikeCoffman,T,63.0,M,,T,F,F,D+2,T,98.51,,W
775,thomas,Colorado,6,6,CO,CO06,Jason Crow,Democratic,https://jasoncrowforcongress.com/,JasonCrowCO6,F,,M,Married,T,F,F,D+2,T,98.51,,W
776,thomas,Florida,14,14,FL,FL14,Kathy Castor,Democratic,https://www.castorforcongress.com/,USRepKCastor,T,52.0,F,Married,T,F,F,D+7,F,99.3,,S
777,thomas,Georgia,7,7,GA,GA07,Carolyn Bourdeaux,Democratic,https://www.carolyn4congress.com/,Carolyn4GA7,F,,F,Married,T,F,F,R+9,T,99.55,,S
778,thomas,Georgia,7,7,GA,GA07,Rob Woodall,Republican,http://robwoodall.com/,RepRobWoodall,T,48.0,M,,T,F,F,R+9,T,99.55,,S
779,thomas,Illinois,7,7,IL,IL07,Craig Cameron,Republican,https://cameron4congress.com/,CraigCameron07,F,,M,,F,F,T,D+38,T,100,44535.0,MW
780,thomas,Illinois,7,7,IL,IL07,Danny Davis,Democratic,https://davis.house.gov/,RepDannyDavis,T,77.0,M,Married,F,F,T,D+38,T,100,44535.0,MW
781,thomas,Illinois,13,13,IL,IL13,Rodney Davis,Republican,https://electrodney.com/,RodneyDavis,T,48.0,M,Married,T,F,F,R+3,T,78.9,44915.0,MW
782,thomas,Illinois,13,13,IL,IL13,Betsy Dirksen Londrigan,Democratic,https://www.betsydirksenlondrigan.com/,BetsyforIL,F,,F,Married,T,F,F,R+3,T,78.9,44915.0,MW
783,thomas,Indiana,5,5,IN,IN05,Susan Brooks,Republican,https://www.susanbrooksforcongress.com/,SusanWBrooks,T,58.0,F,Married,T,F,F,R+9,T,74.53,58115.0,MW
784,thomas,Indiana,5,5,IN,IN05,Dee Thornton,Democratic,http://www.deethorntonforcongress.com/,VoteThornton,F,,F,Married,F,F,T,R+9,T,74.53,58115.0,MW
785,thomas,Michigan,7,7,MI,MI07,Gretchen Driskell,Democratic,https://votedriskell.com/,gdriskell,F,59.0,F,Married,T,F,F,R+7,T,79.9,,MW
786,thomas,Michigan,7,7,MI,MI07,Tim Walberg,Republican,http://www.walbergforcongress.com/,RepWalberg,T,67.0,M,Married,T,F,F,R+7,T,79.9,,MW
787,thomas,Nevada,4,4,NV,NV04,Cresent Hardy,Republican,https://www.cresenthardy.com/,CresentHardy,F,61.0,M,Married,T,F,F,D+3,T,,50134.0,W
788,thomas,Nevada,4,4,NV,NV04,Steven Horsford,Democratic,https://www.stevenhorsford.com/,StevenHorsford,F,45.0,M,Married,F,F,T,D+3,T,,50134.0,W
